point_id,obj_id,obj_type_id,run_type_id,nuMeta,obj_size,C,Na,P,S,K,Ca,Fe,Histone.H3,Total.Tau,MAP2,Cathepsin.D,Podoplanin,CD56,SV2A,HSP60,CollagenIV,Ki.67,Amyloid.A,VAMP2,MAG,VGLUT1,VGLUT2,Synaptophysin,PSD95,Gephyrin,X8OHG,Ta,Au,Iba1,CD45,HLA.DR,GFAP,GlnSyn,CD31,Endoglin_CD105,Fibrinogen,SMA,GLUT1,vWF,Albumin,CD36,CD44,FlowSOM_ids,Meta
4,24,cell,MFG_4x4,2,5909,0,0,0.0011846,0.0033847,2.2982,0.93501,0.090878,0.4571,1.3295,0.1936,0.0081232,0.00016923,0.15722,0.059401,0.010831,0.085801,0,0.062109,0.32425,0.033847,0.025216,0.0054155,0.31511,0.043324,0.0011846,0.097478,0.010323,0.033339,0.418180429,0,0.389950648,0.27848374,0.640750394,0.499380968,0.510978191,0.363084213,0,0.46274922,0.477735398,0.463791428,0.284366743,0.272077713,69,15
4,25,cell,MFG_4x4,4,9764,0,0,0.0011266,0.0025604,2.7518,1.123,0.11153,0.47173,1.1379,0.19398,0,0,0.11717,0.019971,0,0,0,0.010447,0.1738,0.0064523,0.022839,0,0.15045,0.038509,0,0.43251,0.0071692,0.051413,0.216541856,0,0,0,0.416676441,0,0,0,0,0,0.154190694,0.192368591,0,0,1,1
4,26,cell,MFG_4x4,1,5511,0,0,0.0021775,0.0038106,3.3092,1.0604,0.11323,0.33551,0.29069,0.12103,0.018871,0.0021775,0.066594,0.022138,0,0.056795,0,0.18654,0.01125,0.010343,0.015061,0,0.073489,0.027581,0.013246,0.041372,0.081836,0.08474,0.661823022,0.478351451,0.405665069,0,0.382138659,0,0.782612789,0.630881248,0,0.806716527,0.33263288,0.660012568,0.46959728,0.50288059,80,27
4,27,cell,MFG_4x4,3,7954,0,0,0.0017601,0.0042746,3.232,1.3226,0.20078,1.8786,1.4842,0.23548,0.040106,0.02263,0.14772,0.066885,0.015087,0,0,0.03646,0.10133,0.036082,0.022756,0.0010058,0.13427,0.038345,0.0050289,0.17576,0.0095549,0.033694,0.575375175,0.538062854,0.406514954,0.08028844,0.504425151,0.841598559,0.402495218,0.314752174,1.12933339,0.421151854,0.310726347,0.249374964,0.28108595,0.387505251,97,30
4,28,cell,MFG_4x4,4,4174,0,0,0.00047916,0.00023958,0.22784,0.115,0.067561,0.34691,0.90034,0.14231,0,0,0.085529,0.028989,0,0,0,0.0086248,0.20556,0.023239,0.01725,0,0.20316,0.032822,0,0.18831,0.022281,0.08529,0,0,0,0,0.314041171,0,0,0,0,0,0,0.128702087,0,0,1,1
4,29,cell,MFG_4x4,2,6804,0,0,0.00088183,0.0045561,2.7266,1.0628,0.12743,1.147,1.2183,0.19062,0,0,0.13668,0.04806,0,0,0,0.013668,0.25794,0.0020576,0.02087,0,0.16549,0.034832,0,0.22575,0.0072016,0.04659,0,0,0.362500097,0.12198455,0.439448675,0.363166538,0,0,0.286145524,0,0,0.220088484,0,0,34,6
4,30,cell,MFG_4x4,2,3911,0,0,0.0025569,0.0038353,3.4096,1.3963,0.2245,2.0593,2.159,0.31424,0.089491,0.041422,0.20915,0.087701,0.033751,0.0069036,0,0.025825,0.22347,0.099463,0.030171,0.0025569,0.25006,0.046791,0,0.43927,0.0081821,0.043211,0.685677319,0.600709681,0.534035274,0.428987975,0.52468508,1.008864684,0.618785336,0,1.189910169,0,0.332042345,0.289691175,0.190824558,0,86,24
4,31,cell,MFG_4x4,2,4354,0,0,0.0016077,0.0022967,3.4637,1.3027,0.10726,0.30087,1.9077,0.21337,0.010565,0,0.18098,0.081534,0.037437,0.0039045,0,0.015388,0.57258,0.025723,0.030547,0.018604,0.56086,0.060404,0,0.32637,0.009876,0.031006,0.232171526,0.441608541,0.644393644,0.098149099,0.814573858,0,0,0,0,0,0.764412673,0.392352282,0,0,57,14
4,32,cell,MFG_4x4,2,8131,0,0,0.00073792,0.0019678,2.5097,1.0398,0.10823,0.25999,1.5697,0.18546,0.010331,0.0008609,0.14316,0.069241,0.022015,0,0,0.012176,0.39417,0.014758,0.028656,0.0094699,0.3697,0.048211,0,0.19198,0.0099619,0.052884,0,0,0.550670919,0.159404439,0.815927389,0,0,0,0,0,0.643971969,0.296357403,0,0,36,7
4,33,cell,MFG_4x4,2,3680,0,0,0.0016304,0.0019022,2.2293,0.8269,0.12582,1.5,1.1921,0.21522,0,0.001087,0.16141,0.055435,0,0,0,0.021196,0.27228,0.0097826,0.020924,0,0.21304,0.033152,0,0.19375,0.0086957,0.033967,0,0,0,0,0.544548937,0.742002355,0,0,1.003577451,0,0.213461295,0.221418409,0,0,44,10
4,34,cell,MFG_4x4,2,10116,0,0,0.00079083,0.0019771,2.4009,0.96896,0.10904,0.43347,1.1453,0.18416,0.011269,0.0011862,0.13839,0.056544,0.052195,0.0021748,0,0.011764,0.30249,0.03796,0.023824,0.019968,0.32009,0.048339,0,0.2847,0.0071174,0.038553,0.287301505,0.260747851,0.592330097,0.294869451,0.839315189,0,0.217251759,0,0,0,0.782987817,0.212344364,0,0,57,14
4,35,cell,MFG_4x4,3,14862,0,0,0.0011439,0.0030279,3.5415,1.1619,0.12434,0.32452,0.7392,0.1775,0.083569,0.00020186,0.097026,0.015879,0,0.0010093,0,0.007065,0.14036,0.01561,0.018907,0,0.11916,0.032835,0,0.47113,0.0063921,0.043938,0.544707496,0.364097369,0.186466013,0,0.344897072,0.294205455,0,0,0,0,0,0.141317217,0,0,41,9
4,36,cell,MFG_4x4,2,7010,0,0,0.003281,0.011698,15.421,3.3692,0.1174,0.20585,0.29572,0.13224,0.033951,0,0.07204,0.0095578,0.023538,0,0,0.0072753,0.060057,0.0018545,0.01826,0.0097004,0.1127,0.025392,0,0.19358,0.022254,0.080029,0.579002173,0,0.613734224,0.49458011,0.818894424,0,0,0,0,0,0.656177646,0.135079919,0,0,47,11
4,38,cell,MFG_4x4,2,7128,0,0,0.00098204,0.0019641,2.346,0.92116,0.11616,0.57225,1.1264,0.20875,0.14212,0.0071549,0.14169,0.053872,0.068322,0.022306,0,0.010522,0.2326,0.034652,0.025393,0.026235,0.27497,0.049383,0,0.38735,0.0086981,0.033109,0.784986477,0.779392997,0.745386332,0.269787187,0.878517614,0.668984911,0.40603399,0,0,0,0.835950539,0.212639725,0.36255786,0,77,25
4,39,cell,MFG_4x4,3,16809,0,0,0.0029151,0.01059,13.47,3.3313,0.14695,0.314,0.62609,0.22274,0.18466,0.0045214,0.091915,0.024273,0.0030341,0.0073175,0.0041644,0.012493,0.17384,0.0056517,0.027485,0,0.12696,0.034922,0.0046999,0.56059,0.0080909,0.038253,0.620915162,0.411800787,0.394706335,0.257851132,0.367257029,0.463297062,0.342896928,0,0,0,0.178406881,0.167987375,0.30178444,0,72,22
4,40,cell,MFG_4x4,3,6188,0,0,0.0012928,0.0027473,2.4846,1.0024,0.14189,1.0013,2.1687,0.23546,0.017292,0.0045249,0.17049,0.078701,0.013575,0.0059793,0,0.012443,0.37282,0.0383,0.035714,0.0012928,0.32725,0.048481,0.0017776,0.31933,0.010181,0.02925,1.088547095,1.030203304,1.040607784,0,0.482678422,0.536709889,0.33944921,0,0.792671475,0.340019437,0.179508378,0.313382899,0.248637226,0,95,23
