point_id,obj_id,obj_size,C,Na,P,S,K,Ca,Fe,Histone H3,SMA,Total Tau,MAP2,Cathepsin D,Podoplanin,CD56,CD31,SV2A,GlnSyn,Iba1,HSP60,CollagenIV,Ki-67,Albumin,CD36,Endoglin_CD105,Amyloid A,VAMP2,GLUT1,vWF,MAG,VGLUT1,VGLUT2,Synaptophysin,CD45,PSD95,Fibrinogen,Gephyrin,CD44,GFAP,8OHG,HLA-DR,Ta,Au,Astrocytes2
1,50,754,0,0,0.047745,0.18302,87.225,96.671,0.46684,0,0,2.3143,0.38329,0,0,0.37401,0,0.14854,2.0836,0.094164,0,0,0,0.23342,0,0,0.022546,1.1817,0,0,0.034483,0.080902,0.023873,1.065,0.013263,0.075597,0,0,0,0,0,0,0.058355,0.32759,2.0836
1,51,870,0,0,0.067816,0.38506,123.08,97.724,0.39655,0,0,1.5126,0.26437,0,0,0.24943,0,0.088506,1.9885,0,0,0.044828,0,0.32069,0,0,0.037931,0.75172,0.10345,0,0.01954,0.052874,0,0.66322,0,0.066667,0,0,0.0068966,0.042529,0.1046,0,0.19655,0.61609,2.031
1,52,41062,0,0,0.064147,0.41082,163.12,114.91,1.4187,0.039112,0,1.4368,0.31012,0.07082,0,0.24485,0.0012907,0.093249,2.8944,0.031513,0.02657,0.011154,0,0.28598,0.0020457,0.0033608,0.020043,0.70479,0,0.0032147,0.01393,0.054771,0.021528,0.64152,0.0012907,0.072184,0,0.0020213,0.00029224,0.013881,0.64274,0.015757,0.36842,1.0218,2.9083
1,53,2120,0,0,0.036792,0.18585,85.054,98.614,0.52358,0,0,1.9363,0.39717,0.074528,0,0.39811,0.0099057,0.11651,1.7203,0.1783,0.05,0.015566,0,0.23774,0,0,0.020283,1.1368,0.0066038,0.0075472,0.05566,0.08066,0.013679,0.925,0.013679,0.07217,0,0,0,0.11557,0.16085,0.0075472,0.035849,0.30377,1.8358
1,54,3051,0,0,0.047525,0.17011,88.044,100.69,0.60701,0,0,1.9361,0.37955,0.076041,0,0.35038,0,0.12094,2.2075,0.023271,0.042281,0.028187,0,0.21141,0,0,0.022288,1.0518,0,0.0091773,0.032448,0.076041,0.013766,0.9174,0.0052442,0.059653,0,0,0,0.15503,0.16781,0,0.055392,0.36119,2.3625
1,55,524,0,0,0.066794,0.3874,165.54,112.66,0.41412,0,0,1.4599,0.30153,0,0,0.25191,0,0.12023,1.9313,0,0,0,0,0.1813,0,0,0.013359,0.84351,0,0,0.032443,0.053435,0.013359,0.75573,0,0.05916,0,0,0,0,0,0,0.52863,1.1527,1.9313
1,56,2585,0,0,0.06499,0.31103,153.88,99.54,0.33578,0,0,0.60309,0.23095,0,0,0.15513,0,0.032495,2.0576,0,0,0.11799,0,0.1853,0,0,0.014313,0.36518,0.090522,0,0.013926,0.029787,0.012379,0.35358,0,0.059574,0,0,0,0,0.019729,0,0.29168,0.84913,2.0576
1,57,2053,0,0,0.062835,0.34437,109.03,106.44,0.75889,0.075012,0,1.1856,0.33317,0.11301,0,0.25865,0,0.085728,2.6473,0.096931,0.069654,0.014126,0,0.3093,0.014126,0.02338,0.021432,0.7433,0,0,0.065757,0.063809,0.027764,0.53288,0,0.056016,0,0,0,0.21773,0.54554,0.017535,0.2528,0.91719,2.8651
1,58,44659,0,0,0.046262,0.17105,84.185,95.45,0.66242,0.11863,0,1.2695,0.31391,0.080185,0,0.29123,0.0062473,0.096935,2.6909,0.097785,0.037708,0.09371,0,0.24512,0.00033588,0.021519,0.029983,0.79276,0.17956,0.017846,0.036096,0.06422,0.015898,0.64099,0.0036947,0.057928,0.021698,0,0.00024631,0.096016,0.32842,0.01451,0.040261,0.26611,2.787
1,59,534,0,0,0.041199,0.1573,85.627,102.26,5.7322,0,0,1.7079,0.35206,0.071161,0,0.31835,0,0.11985,1.9719,0,0,0,0,0.22285,0,0,0.043071,0.86142,0,0,0.0093633,0.06367,0.026217,0.74157,0,0.078652,0,0,0,0.046816,0.50936,0,0.039326,0.29963,2.0187
1,60,709,0,0,0.036671,0.37377,107.17,104.16,0.31312,0,0,1.1777,0.30183,0,0,0.33286,0,0.098731,2.0423,0,0,0,0,0.19041,0,0,0.018336,0.77151,0,0,0.074753,0.070522,0.012694,0.83216,0,0.047955,0,0,0,0.0084626,0.26234,0,0.22426,0.81946,2.0508
1,61,912,0,0,0.042763,0.18531,89.965,99.939,0.29276,0,0,1.2774,0.30592,0,0,0.25219,0,0.13268,2.0208,0.13487,0.033991,0,0,0.13925,0,0,0.02193,0.75877,0,0,0.0065789,0.060307,0.0065789,0.6886,0,0.044956,0,0,0,0.002193,0.1875,0.0065789,0.091009,0.49123,2.023
1,62,682,0,0,0.041056,0.41202,142.53,107.49,0.42962,0,0,1.4282,0.33724,0,0,0.28592,0,0.087977,2.1935,0,0,0,0,0.24194,0,0,0.019062,0.85191,0,0,0.067449,0.054252,0.039589,0.70821,0,0.076246,0,0,0,0.016129,0.3739,0.049853,0.23021,0.83284,2.2097
