point_id,obj_id,obj_size,C,Na,P,S,K,Ca,Fe,Histone H3,SMA,Total Tau,MAP2,Cathepsin D,Podoplanin,CD56,CD31,SV2A,GlnSyn,Iba1,HSP60,CollagenIV,Ki-67,Albumin,CD36,Endoglin_CD105,Amyloid A,VAMP2,GLUT1,vWF,MAG,VGLUT1,VGLUT2,Synaptophysin,CD45,PSD95,Fibrinogen,Gephyrin,CD44,GFAP,8OHG,HLA-DR,Ta,Au,Vessel2
1,41,305,0,0,0.0065574,0.0032787,1.6656,0.45574,0.013115,0,0,0.013115,0.0032787,0,0,0.32459,0.055738,0.0098361,0.081967,0,0,0,0,0.085246,0,0.052459,0,0.0098361,0.32787,0,0.0032787,0.0032787,0.0098361,0.02623,0.0098361,0,0,0,0.0032787,0.016393,0,0,0.89508,0.30164,0.32787
1,42,285,0,0,0.010526,0.010526,1.5158,0.38596,0,0,0,0.0070175,0,0,0,0.11228,0.14737,0.0070175,0.045614,0,0,0.021053,0,0,0,0.1193,0,0.017544,0.30877,0,0,0.0035088,0.0035088,0.0070175,0.0070175,0,0,0,0.010526,0.017544,0,0,0.031579,0.070175,0.30877
1,43,483,0,0,0.0020704,0.0020704,1.0725,0.27536,0.022774,0,0,0.031056,0,0,0,0.25673,0.093168,0.024845,0.033126,0,0,0,0,0,0,0.057971,0,0.026915,0.26708,0,0,0,0.0020704,0.024845,0.014493,0,0,0,0.0082816,0.026915,0,0,0.14079,0.055901,0.26708
1,44,448,0,0,0.011161,0,0.55804,0.19196,0.075893,0,0,0.044643,0.0066964,0,0,0.17188,0.044643,0.015625,0,0,0,0,0,0,0,0,0,0.037946,0.27679,0,0.011161,0,0.0044643,0.0044643,0.0022321,0,0,0,0.0066964,0.015625,0.015625,0,0.0044643,0.011161,0.27679
1,45,445,0,0,0.0067416,0,1.3888,0.3191,0.20674,0,0,0.062921,0,0,0,0.34831,0,0.098876,0.033708,0,0,0.10337,0,0,0,0,0.038202,0.11011,0.15506,0.11461,0.0067416,0.0067416,0.0022472,0.035955,0.031461,0.029213,0,0,0.020225,0.033708,0.013483,0,0.094382,0.029213,0.26966
1,46,1019,0,0,0.0078508,0.0029441,2.103,1.6349,0.64868,0,0,0.032385,0.013739,0,0,0.26595,0,0.015702,0,0,0,0.05103,0,0,0,0.0019627,0,0.032385,0.25515,0,0,0.00098135,0.0058881,0.011776,0.0098135,0,0,0,0.016683,0.01472,0,0,4.474,2.0324,0.25515
1,47,3476,0,0,0.0034522,0.0025892,1.082,0.25547,0.0071922,0.024741,0.023303,0.00028769,0,0,0,0,0.027906,0.0051784,0,0,0,0.0187,0,0.50748,0,0.040852,0,0,0.068182,0.037975,0.00028769,0,0.0020138,0.0011507,0.0074799,0,0.10903,0,0.030207,0.0048907,0.0086306,0,0.12054,0.22181,0.21519
1,48,971,0,0,0.0082389,0.0030896,1.6982,0.60041,0.22966,0,0,0.014418,0,0,0,0.11432,0.063852,0.0030896,0.0072091,0,0,0,0,0,0,0.018538,0,0.011329,0.23893,0,0.0020597,0.0020597,0.0010299,0.015448,0.0092688,0,0,0,0.0030896,0.0072091,0,0,0.053553,0.062822,0.23893
1,49,683,0,0,0.0058565,0.0087848,4.1772,3.2225,1.4143,0.04246,0,0.055637,0.0073206,0,0,0.13177,0,0.0043924,0.040996,0.081991,0,0.10981,0,0.21962,0,0.021962,0,0.0087848,0.11859,0.02489,0.010249,0,0.0043924,0.0043924,0.013177,0,0.11274,0,0.016105,0.0029283,0.0043924,0.021962,9.7321,5.8609,0.25622
1,50,942,0,0,0.015924,0.0053079,1.1943,0.38535,0.026539,0.052017,0,0.007431,0,0,0,0.23355,0.085987,0.0138,0.0138,0,0,0,0,0,0,0,0,0.021231,0.26008,0,0,0,0.0031847,0.014862,0.007431,0,0,0,0.0031847,0.018047,0,0,0.010616,0.022293,0.26008
1,51,302,0,0,0.019868,0.0033113,2.3344,1.0099,0.25828,0.30132,0,0.069536,0,0,0,0.28808,0,0.1457,0.0066225,0,0,0.086093,0,0,0,0,0.046358,0.11258,0.18212,0.13576,0.036424,0.02649,0.0099338,0.019868,0.023179,0.029801,0,0,0.02649,0.0099338,0.089404,0,0.12252,0.056291,0.31788
1,52,303,0,0,0,0.0066007,0.64356,0.18812,0,0,0,0.009901,0,0,0,0.066007,0,0,0.0033003,0,0,0.029703,0,0.17822,0,0.075908,0,0.013201,0.32013,0,0.009901,0,0,0.0033003,0.0033003,0,0,0,0.013201,0.013201,0,0,0.009901,0.029703,0.32013
1,53,1094,0,0,0.0063985,0.0018282,0.84186,0.23675,0,0,0,0.0027422,0,0,0,0.035649,0.075868,0.0054845,0,0.054845,0,0,0,0,0,0.076782,0,0,0.23492,0,0,0,0.00091408,0.0045704,0.0063985,0,0,0,0.0073126,0.0063985,0,0,0.041133,0.084095,0.23492
1,54,419,0,0,0.011933,0.01432,1.6181,0.36993,0,0.097852,0,0.01432,0,0,0,0.1074,0.0358,0.0047733,0.0047733,0,0,0,0,0,0,0.090692,0,0.016706,0.25298,0,0.0095465,0,0.0023866,0.0047733,0.0047733,0,0,0,0.0023866,0.0071599,0,0,0.0095465,0.016706,0.25298
1,55,756,0,0,0.0013228,0.0026455,1.0198,0.2619,0,0,0,0.0079365,0,0,0,0.11376,0.042328,0.0039683,0.0092593,0,0,0.022487,0,0,0,0.0066138,0,0.0066138,0.23942,0,0.0092593,0.0066138,0.0013228,0.010582,0.0079365,0,0,0,0.0079365,0.013228,0,0,0.019841,0.029101,0.23942
1,56,737,0,0,0.014925,0.012212,2.1872,0.91045,0.15061,0,0,0.069199,0.035278,0,0,0.44505,0,0.084125,0.04749,0.02578,0,0.093623,0,0.017639,0,0,0.031208,0.084125,0.15604,0.09498,0.016282,0.0040706,0.0067843,0.033921,0.037992,0.029851,0,0,0.018996,0.0054274,0.050204,0,0.91859,0.22524,0.25102
